bhid,from,to,seam_thickness,seam_name
611,475.5,476.1,0.6,H4T,
611,477.9,480.3,2.4,H4B,
611,482.63,491.1,8.47,TS,
623,258.03,260.6,2.57,I,
623,350.3,351.84,1.54,H1,
623,384.44,384.5,0.06,B2,
623,376.12,379.67,3.55,H2,
623,395.88,401.4,5.52,H3,
623,403.68,405.5,1.82,H4T,
623,407.43,408.6,1.17,H4B,
623,409.43,424.69,15.26,TS,
623,439.3,439.43,0.13,IND2,
624,168.75,170.67,1.92,H1,
624,173.77,174.48,0.71,B1,
624,177,177.84,0.84,B2,
624,182.52,183.02,0.5,H2,
624,193.45,196.08,2.63,H3,
624,210.38,210.55,0.17,H4T,
624,230.98,232.46,1.48,TST,
626,91.2,97,5.8,I,
626,215.52,217.78,2.26,H1,
626,222.18,222.66,0.48,B1,
626,226.25,227.11,0.86,B2,
626,238.43,239.97,1.54,H2,
626,249.76,253.76,4,H3,
626,271.95,272.36,0.41,H4T,
626,287.65,293.99,6.34,TST,
626,300.73,307.01,6.28,TSB
626,318.3,319.05,0.75,IND1,
684A,283.23,289.69,6.46,I,
684A,394.3,395.6,1.3,H1,
684A,402.4,402.8,0.4,B1,
684A,413.2,414.9,1.7,B2,
684A,427.62,431.96,4.34,H2,
684A,443.64,450.4,6.76,H3,
684A,451.36,452.76,1.4,H4T,
684A,454.29,455.73,1.44,H4B,
684A,456.52,472.8,16.28,TS,
686,329.1,339.2,10.1,I,
686,441.4,443.2,1.8,H1,
686,458.4,458.9,0.5,B1,
686,468.8,469.4,0.6,B2,
686,473.6,477.9,4.3,H2,
686,481.2,482,0.8,B3,
686,489.6,494.6,5,H3,
686,496.8,498.4,1.6,H4T,
686,499.6,501,1.4,H4B,
687,435.08,435.17,0.09,B1,
687,444.95,446.06,1.11,B2,
687,455.14,462.28,7.14,H2,
687,465.95,470.11,4.16,H3,
687,471.68,472.68,1,H4T,
687,473.84,475.75,1.91,H4B,
687,476.6,492.7,16.1,TS,
691,279,291.6,12.6,I,
691,408.72,411.49,2.77,H1,
691,416.68,416.94,0.26,B1,
691,424.36,425.11,0.75,B2,
691,436.98,443.6,6.62,H2,
691,454.02,458.26,4.24,H3,
691,461.09,461.7,0.61,H4T,
691,462.93,465.56,2.63,H4B,
691,466.65,482.6,15.95,TS,
697,144,150,6,I,
697,271.17,272.73,1.56,H1,
697,276.62,276.9,0.28,B1,
697,281.33,282,0.67,B2,
697,290.67,296.24,5.57,H2,
697,306.72,310.64,3.92,H3,
697,330.73,331.67,0.94,H4T,
697,336.36,351.49,15.13,TS,
